In,Out,Penalty
',,0
‘,,0
’,,0
+,,0
a,a,0
ai,ay,0
air,ar,0
ao,aw,0
aor,awr,0
ar,ar,0
b,b,0
ch,C,0
c,ts,0
d,d,0
e,e,0
ei,ey,0
eir,er,0
e'r,er,0
er,er,0
f,f,0
g,g,0
h,h,0
iang,yaN,0
ian,yen,0
iaor,yawr,0
iao,yaw,0
ia,ya,0
ier,yer,0
ie,ye,0
i,i,0
ingr,yer,0
iongr,yoNr,0
iong,yoN,0
ir,er,0
iur,yowr,0
iu,yow,0
j,j,1
k,k,0
l,l,0
m,m,0
ng,N,0
n,n,0
nr,r,0
nüan,nyuen,0
nü,nyu,0
ong,oN,0
ongr,oNr,0
o,o,0
or,or,0
ou,ow,0
our,owr,0
p,p,0
q,C,1
r,j,1
sh,S,0
s,s,0
t,t,0
uair,war,0
uai,way,0
uangr,waNr,0
uang,waN,0
uanr,war,0
üan,uen,0
uan,wan,0
uar,war,0
ua,wa,0
uir,wir,0
ui,wi,1
unr,wer,0
un,wen,0
uor,wor,0
uo,wo,0
ur,ur,0
u,u,0
ü,u,0
wur,ur,0
wu,u,0
w,w,0
x,S,1
yang,yaN,0
yan,yen,0
yingr,yer,0
yongr,yoNr,0
yuan,yuen,0
yu,yu,0
y,y,0
z,dz,0
zh,j,0
