In,Out,Penalty
ː,,0
',,0
(,,0
),,0
.,,0
/,,0
[,,0
],,0
ˈ,,0
ˌ,,0
a,a,0
æ,a,0
aɪ,ay,0
aɪ̯,ay,0
aɪɚ,ayer,0
aʊ,aw,0
ɐ,a,0
ɑː,a,0
ɑ,a,0
ɑɪ̯,ay,0
ɒ,o,0
ɒ̃,on,0
b,b,0
c,C,1
ç,X,0
d,d,0
ð,d,1
dʒ,j,0
e,e,0
eɪ,ey,0
eɪ̯,ey,0
eɪɚ,eer,0
ə,e,0
ə̯,e,0
ə(ʊ),o,0
əʊ,o,0
ɛ,e,0
ɛə(ɹ),er,0
ɛəɹ,er,0
ɛɚ,er,0
ɚ,er,0
ɜː,er,0
ɜ,e,0
ɝ,er,0
f,f,0
ɡ,g,0
ɣ,g,1
ʰ,,0
h,h,0
iː,i,0
i,i,0
ɪə(ɹ),ir,0
ɪəɹ,ir,0
ɪɚ,ir,0
ɪ,i,0
ɪ̈,i,0
ɨ,i,0
ʲ,,0
j,y,0
ɟ,j,0
k,k,0
l,l,0
l̩,l,0
ɫ,l,0
m,m,0
m̩,m,0
n,n,0
n̩,n,0
ɲ,ny,0
ŋ,N,0
o,o,0
o̯,o,0
ø,o,0
õ,on,0
oʊ,o,0
oʊ̯,o,0
ɔː,o,0
ɔɪɚ,oier,0
ɔɪ,oi,0
ɔ,o,0
ɵ,e,0
p,p,0
q,k,0
r,r,0
ř̩,r,0
ɹ,r,0
ɾ,r,0
ʁ,r,0
s,s,0
ʃ,S,0
ts,ts,0
tʃ,C,0
t,t,0
t̚,t,0
uː,u,0
u,u,0
ʉ,u,0
ʊ,u,0
v,v,0
ʋ,w,0
ʌ,a,0
ʌ̟,a,0
w,w,0
ʍ,w,0
x,X,0
y,u,0
ý,u,0
z,z,0
ʒ,j,0
ʔ,,0
ˀ,,0
θ,t,1
