In,Out,Penalty
!,!,0
¡,,0
?,?,0
¿,,0
(,,0
),,0
/,/,0
',,0
a,a,0
á,á,0
ai,ay,0
ái,áy,0
au,aw,0
áu,áw,0
ay,ay,0
áy,áy,0
b,b,0
ce,se,0
cé,sé,0
ch,C,0
ci,si,0
cí,sí,0
c,k,0
d,d,0
e,e,0
é,é,0
ei,ey,0
éi,éy,0
eu,ew,0
éu,éw,0
ey,ey,0
éy,éy,0
f,f,0
ge,he,0
gé,hé,0
g,g,0
gi,hi,0
gí,hí,0
gue,ge,0
gué,gé,0
gu,gw,0
gü,gw,0
gui,gi,0
guí,gí,0
h,H,0
i,i,0
í,í,0
j,X,0
k,k,0
l,l,0
ll,y,0
m,m,0
n,n,0
ñ,ny,0
oi,oy,0
ói,óy,0
o,o,0
ó,ó,0
ou,ow,0
óu,ów,0
oy,oy,0
óy,óy,0
p,p,0
q,k,0
qu,k,0
r,r,0
rr,r,0
sh,S,0
s,s,0
t,t,0
tx,C,0
tz,ts,0
u,u,0
ú,ú,0
v,b,0
w,w,0
x,ks,0
y,y,0
z,s,0
