In,Out,Penalty
…, ,0
',,0
’,,0
(,,0
),,0
/,/,0
a,a,0
aa,a,0
aë,ae,0
æ,e,0
aen,an,0
aën,an,0
aï,ai,0
ai,e,0
aie,e,0
aon,an,0
au,o,0
aw,o,0
aye,ei,0
ay,ey,0
b,b,0
cc,k,0
chr,kr,0
ch,S,0
c,k,0
cqu,k,0
ç,s,0
d,d,0
ÉA,ea,0
ea,i,0
eau,o,0
e,e,0
ë,e,0
ÉE,e,0
ee,i,0
ei,e,0
eil,ey,0
eill,ey,0
eoi,wa,0
eu,o,0
ew,yu,0
ey,e,0
f,f,0
g,g,0
gg,g,0
gn,ny,0
h,,0
i,i,0
ilh,iy,0
ill,iy,0
illYar,ilyar,0
illYon,ilyon,0
ï,y,0
j,j,0
k,k,0
l,l,0
ll,l,0
m,m,0
mm,m,0
n,n,0
nn,n,0
ñ,ny,0
oën,wen,0
œ,o,0
oe,oe,0
oë,oe,0
œu,o,0
OÊ,wa,0
oie,wa,0
oin,wen,0
oï,oi,0
oi,wa,0
o,o,0
ö,o,0
oo,oo,0
ou,u,0
ow,o,0
oy,way,0
ph,f,0
p,p,0
pp,p,0
pt,t,1
q,k,0
qu,k,0
r,r,0
ʳ,r,0
rr,r,0
sch,S,0
sc,sk,0
s,s,0
ss,s,0
tch,C,0
th,t,0
t,t,0
tt,t,0
uë,u,0
u,u,0
ü,u,0
uy,uil,0
v,v,0
w,w,0
x,ks,0
y,i,0
Y,y,0
z,z,0
