In,Out,Penalty
a,a,0
ạ,a,0
aa,a,0
aai,ay,0
aao,aw,0
ae,e,0
æ,e,0
aeo,ew,0
ǣo,ew,0
aew,ew,0
ai,ay,0
ao,aw,0
au,aw,0
aw,aw,0
ay,ay,0
b,b,0
c,C,0
ch,C,0
d,d,0
e,e,0
ee,e,0
eeo,ew,0
eo,ew,0
eu,ew,0
ew,ew,0
ə,e,0
əə,e,0
əəi,ey,0
əəo,eaw,0
əi,ey,0
ɛ,e,0
ɛɛ,e,0
ɛɛo,ew,0
ɛo,ew,0
f,f,0
g,g,0
ʰ,0,0
h,h,0
ḥ,h,0
i,i,0
ị,i,0
ii,i,0
j,C,0
kh,k,0
k,k,0
l,l,0
m,m,0
ng,N,0
n,n,0
oei,oy,0
oe,o,0
oey,oy,0
oi,oy,0
o,o,0
ooi,oy,0
oo,o,0
oy,oy,0
ɔi,oy,0
ɔ,o,0
ɔɔi,oy,0
ɔɔ,o,0
ph,p,0
p,p,0
r,r,0
s,s,0
th,t,0
t,t,0
ṭ,t,0
ue,u,0
ui,uy,0
u,u,0
uui,uy,0
uu,u,0
uy,uy,0
ʉ,u,0
ʉʉ,u,0
w,w,0
x,o,0
xx,o,0
y,y,0
